cluster,motif_id,family,motif_name
cluster_1,MA1828.1,TCP,Zm00001d038683
cluster_1,MA1286.1,TCP,TCP24
cluster_1,MA1282.1,TCP,TCP13
cluster_1,MA1289.1,TCP,TCP3
cluster_1,MA1290.1,TCP,TCP17
cluster_1,MA1287.1,TCP,TCP21
cluster_1,MA1288.1,TCP,TCP22
cluster_1,MA1291.1,TCP,TCP7
cluster_1,MA1410.1,TCP,StBRC1
cluster_1,MA1430.1,TCP,TB1
cluster_1,MA1054.1,TCP,ARALYDRAFT_897773
cluster_1,MA0587.1,TCP,TCP16
cluster_1,MA1031.1,TCP,OJ1581_H09.2
cluster_1,MA1064.1,TCP,TCP2
cluster_1,MA1067.1,TCP,TCP5
cluster_1,MA1035.1,TCP,TCP4
cluster_1,MA1096.1,TCP,ARALYDRAFT_496250
cluster_1,MA1095.1,TCP,ARALYDRAFT_495258
cluster_1,MA1098.1,TCP,ARALYDRAFT_484486
cluster_1,MA1097.1,TCP,ARALYDRAFT_493022
cluster_1,MA1050.1,TCP,OsI_08196
cluster_1,MA1066.1,TCP,TCP23
cluster_1,MA1063.1,TCP,TCP19
cluster_1,MA1019.1,TCP,Glyma19g26560.1
cluster_1,MA1428.1,TCP,TCP8
cluster_1,MA1284.1,TCP,TCP1
cluster_1,MA1062.2,TCP,TCP15
cluster_1,MA1065.2,TCP,TCP20
cluster_1,MA1283.1,TCP,TCP14
cluster_1,MA1285.1,TCP,TCP9
cluster_2,MA1414.1,E2F,E2FA
cluster_2,MA1749.1,E2F,E2FC
cluster_2,MA1732.1,E2F,E2FD
cluster_2,MA1750.1,E2F,E2FE
cluster_3,MA1831.1,ERF/DREB_A,Zm00001d031796
cluster_3,MA2017.1,ERF/DREB_A,JUB1
cluster_3,MA0123.1,ERF/DREB_A,abi4
cluster_3,MA0992.2,ERF/DREB_A,ERF4
cluster_3,MA0993.1,ERF/DREB_A,ERF7
cluster_3,MA1795.1,ERF/DREB_A,RAP2-4
cluster_3,MA1242.1,ERF/DREB_A,DREB2F
cluster_3,MA1818.1,ERF/DREB_A,Zm00001d052229
cluster_3,MA1832.1,ERF/DREB_A,Zm00001d002364
cluster_3,MA1821.1,ERF/DREB_A,Zm00001d020595
cluster_3,MA1245.2,ERF/DREB_A,ERF112
cluster_3,MA1005.2,ERF/DREB_A,ERF3
cluster_3,MA1819.1,ERF/DREB_A,Zm00001d005892
cluster_3,MA1820.1,ERF/DREB_A,Zm00001d024324
cluster_3,MA1671.1,ERF/DREB_A,ERF118
cluster_3,MA1817.1,ERF/DREB_A,Zm00001d020267
cluster_3,MA0976.2,ERF/DREB_A,CRF4
cluster_3,MA1001.3,ERF/DREB_A,ERF11
cluster_3,MA1006.1,ERF/DREB_A,ERF6
cluster_3,MA0998.1,ERF/DREB_A,ERF096
cluster_3,MA1804.1,ERF/DREB_A,WIN1
cluster_3,MA0979.1,ERF/DREB_A,ERF008
cluster_3,MA1034.1,ERF/DREB_A,Os05g0497200
cluster_3,MA1049.1,ERF/DREB_A,ERF094
cluster_3,MA1004.1,ERF/DREB_A,ERF13
cluster_3,MA0567.1,ERF/DREB_A,ERF1B
cluster_3,MA0997.1,ERF/DREB_A,ERF069
cluster_3,MA0975.1,ERF/DREB_A,CRF2
cluster_3,MA1051.1,ERF/DREB_A,RAP2-3
cluster_3,MA1053.1,ERF/DREB_A,ERF109
cluster_3,MA1261.1,ERF/DREB_A,ERF122
cluster_3,MA2021.1,ERF/DREB_A,LBD13
cluster_3,MA1234.1,ERF/DREB_A,ERF017
cluster_3,MA1263.1,ERF/DREB_A,ERF055
cluster_3,MA1244.1,ERF/DREB_A,ABR1
cluster_3,MA1256.1,ERF/DREB_A,RAP2-12
cluster_3,MA1246.1,ERF/DREB_A,LEP
cluster_3,MA1257.1,ERF/DREB_A,ERF9
cluster_3,MA1236.1,ERF/DREB_A,ERF003
cluster_3,MA1754.1,ERF/DREB_A,ERF073
cluster_3,MA1226.1,ERF/DREB_A,DREB2G
cluster_3,MA1228.1,ERF/DREB_A,ERF091
cluster_3,MA1262.1,ERF/DREB_A,ERF2
cluster_3,MA1239.1,ERF/DREB_A,ERF104
cluster_3,MA1240.1,ERF/DREB_A,ERF10
cluster_3,MA2013.1,ERF/DREB_A,ERF115
cluster_3,MA1833.1,ERF/DREB_A,Zm00001d049364
cluster_3,MA2022.1,ERF/DREB_A,LOB
cluster_3,MA1266.1,ERF/DREB_A,RAP2-11
cluster_3,MA1225.1,ERF/DREB_A,ERF5
cluster_3,MA1252.1,ERF/DREB_A,ERF086
cluster_3,MA1753.1,ERF/DREB_A,ERF057
cluster_3,MA1222.1,ERF/DREB_A,ERF014
cluster_3,MA1250.1,ERF/DREB_A,DREB2D
cluster_3,MA1000.2,ERF/DREB_A,ERF105
cluster_3,MA1231.2,ERF/DREB_A,ERF15
cluster_3,MA0994.2,ERF/DREB_A,ERF8
cluster_3,MA1264.1,ERF/DREB_A,ERF095
cluster_3,MA1221.1,ERF/DREB_A,RAP2-6
cluster_3,MA1247.1,ERF/DREB_A,ERF087
cluster_4,MA1046.1,NAC_A,NTL9
cluster_4,MA1676.2,NAC_A,NAC062
cluster_4,MA1823.1,NAC_A,Zm00001d027846
cluster_4,MA1044.1,NAC_A,NAC92
cluster_4,MA2018.1,NAC_A,NAC69
cluster_4,MA1427.2,NAC_A,NAC028
cluster_4,MA1678.2,NAC_A,NTL8
cluster_4,MA2048.1,NAC_A,NAC045
cluster_4,MA2053.1,NAC_A,NAC105
cluster_4,MA2051.1,NAC_A,NAC68
cluster_4,MA2038.1,NAC_A,NAC103
cluster_4,MA1674.2,NAC_A,NAC017
cluster_4,MA2034.1,NAC_A,NAC057
cluster_4,MA2037.1,NAC_A,NAC096
cluster_4,MA2010.1,NAC_A,SMB
cluster_4,MA2044.1,NAC_A,NAC007
cluster_4,MA2005.1,NAC_A,NAC016
cluster_4,MA2047.1,NAC_A,NAC037
cluster_4,MA2036.1,NAC_A,NAC076
cluster_4,MA2050.1,NAC_A,NAC101
cluster_4,MA1663.2,NAC_A,NAC050
cluster_4,MA2043.1,NAC_A,NAC004
cluster_4,MA1677.1,NAC_A,NAC078
cluster_4,MA2049.1,NAC_A,NAC053
cluster_5,MA1179.1,MYB_A,MYB1
cluster_5,MA0034.1,MYB_A,Gam1
cluster_5,MA1170.1,MYB_A,MYB118
cluster_5,MA1176.1,MYB_A,MYB119
cluster_5,MA1392.2,MYB_A,MYB98
cluster_5,MA0575.1,MYB_A,MYB77
cluster_5,MA1172.1,MYB_A,MYB3R5
cluster_5,MA1180.1,MYB_A,MYB3R4
cluster_5,MA1394.2,MYB_A,MYB73
cluster_5,MA2027.1,MYB_A,MYB44
cluster_5,MA1169.1,MYB_A,MYB105
cluster_5,MA1171.1,MYB_A,MYB52
cluster_5,MA1181.1,MYB_A,MYB113
cluster_5,MA0054.1,MYB_A,myb.Ph3
cluster_5,MA1175.1,MYB_A,MYB81
cluster_5,MA1393.2,MYB_A,MYB70
cluster_5,MA1662.1,MYB_A,AT3G10030
cluster_5,MA1391.2,MYB_A,MYB33
cluster_5,MA1173.1,MYB_A,MYB101
cluster_5,MA1177.1,MYB_A,MYB65
cluster_5,MA1174.1,MYB_A,MYB56
cluster_5,MA1178.2,MYB_A,MYB3R1
cluster_6,MA0970.1,MYB_C,CAMTA3
cluster_6,MA1426.1,MYB_C,MYB124
cluster_6,MA0969.1,MYB_C,CAMTA2
cluster_6,MA1834.1,MYB_C,Zm00001d034298
cluster_6,MA1382.1,MYB_C,FAR1
cluster_6,MA1197.1,MYB_C,CAMTA1
cluster_6,MA0557.1,MYB_C,FHY3
cluster_6,MA1740.1,bHLH_A,BHLH49
cluster_6,MA1011.1,bHLH_A,PHYPADRAFT_72483
cluster_6,MA0956.1,bHLH_A,BEE2
cluster_6,MA0988.1,bHLH_A,PHYPADRAFT_143875
cluster_6,MA0966.1,bHLH_A,BIM3
cluster_6,MA0960.1,bHLH_A,BHLH104
cluster_6,MA1411.1,bHLH_A,TSAR1
cluster_6,MA1412.1,bHLH_A,TSAR2
cluster_6,MA1061.1,bHLH_A,SPT
cluster_6,MA0560.1,bHLH_A,PIF3
cluster_6,MA0931.1,bHLH_A,ABI5
cluster_6,MA1025.1,bHLH_A,HBI1
cluster_6,MA1816.1,bHLH_A,O11
cluster_6,MA0964.2,bHLH_A,BIM1
cluster_6,MA1332.1,bHLH_A,BEH2
cluster_6,MA0549.1,bHLH_A,BZR2
cluster_6,MA1331.1,bHLH_A,BEH4
cluster_6,MA1333.1,bHLH_A,BEH3
cluster_6,MA0561.1,bHLH_A,PIF4
cluster_6,MA1033.1,bHLH_A,OJ1058_F05.8
cluster_6,MA0128.1,bHLH_A,EmBP-1
cluster_6,MA0562.1,bHLH_A,PIF5
cluster_6,MA0962.1,bHLH_A,BHLH34
cluster_6,MA1021.1,bHLH_A,PHYPADRAFT_48267
cluster_6,MA1074.1,bHLH_A,UNE10
cluster_6,MA0959.1,bHLH_A,AIB
cluster_6,MA0963.1,bHLH_A,BHLH78
cluster_6,MA0568.1,bHLH_A,MYC3
cluster_6,MA0569.1,bHLH_A,MYC4
cluster_6,MA0566.1,bHLH_A,MYC2
cluster_6,MA0957.1,bHLH_A,BHLH3
cluster_6,MA0958.1,bHLH_A,BHLH13
cluster_6,MA0930.2,bHLH_A,ABF3
cluster_6,MA1672.1,bHLH_A,GBF2
cluster_6,MA0570.2,bHLH_A,ABF1
cluster_6,MA1351.2,bHLH_A,GBF3
cluster_6,MA1808.1,bHLH_A,GLYMA-06G314400
cluster_6,MA1811.1,bHLH_A,GLYMA-13G317000
cluster_6,MA0965.2,bHLH_A,BIM2
cluster_6,MA0551.1,bHLH_A,HY5
cluster_6,MA1338.2,bHLH_A,DPBF3
cluster_6,MA0941.1,bHLH_A,ABF2
cluster_6,MA1826.1,bHLH_A,bHLH145
cluster_6,MA2014.1,bHLH_A,BAM8
cluster_6,MA1359.2,bHLH_A,BPE
cluster_6,MA1360.2,bHLH_A,BHLH74
cluster_6,MA0580.1,bHLH_A,DYT1
cluster_6,MA1362.1,bHLH_A,bHLH77
cluster_6,MA0552.1,bHLH_A,PIF1
cluster_6,MA1364.1,bHLH_A,BHLH72
cluster_6,MA1363.1,bHLH_A,LRL2
cluster_6,MA1207.1,bHLH_A,GT-3a
cluster_6,MA1361.1,bHLH_A,bHLH18
cluster_7,MA0972.1,MYBR_A,CCA1
cluster_7,MA1185.1,MYBR_A,LHY
cluster_7,MA1187.1,MYBR_A,RVE4
cluster_7,MA1182.1,MYBR_A,RVE8
cluster_7,MA1183.1,MYBR_A,RVE6
cluster_7,MA1190.1,MYBR_A,RVE5
cluster_7,MA1401.1,MYBR_A,RVE7
cluster_7,MA1184.1,MYBR_A,RVE1
cluster_7,MA1191.1,MYBR_A,RVE7L
cluster_8,MA1335.1,bZIP_A,TGA4
cluster_8,MA0588.1,bZIP_A,TGA1
cluster_8,MA1348.1,bZIP_A,TGA9
cluster_8,MA1069.2,bZIP_A,TGA6
cluster_8,MA1047.2,bZIP_A,TGA5
cluster_8,MA1068.2,bZIP_A,TGA2
cluster_8,MA1070.2,bZIP_A,TGA7
cluster_8,MA1336.1,bZIP_A,TGA3
cluster_8,MA1346.1,bZIP_A,TGA10
cluster_8,MA1787.1,NAC_B,NAC047
cluster_8,MA2046.1,NAC_B,NAC035
cluster_8,MA1417.1,bZIP_A,O2
